HUNDRED,STREET,FROM,TO,CITY COUNCIL DISTRICT,POTHOLES,DITCHES,EMERGENCY UTILITY WORK,ROADWAY RESURFACING RATING,PAVING PROGRAM,,,
8300,BUSTLETON AVE,CASTOR AVE,AXE FACTORY RD,10,7,0,0,100,PENNDOT,,,
8300,BUSTLETON AVE,AXE FACTORY RD,BERGEN ST,10,2,0,2,100,PENNDOT,,,
8400,BUSTLETON AVE,BERGEN ST,TUSTIN AVE,10,7,0,0,100,PENNDOT,,,
8500,BUSTLETON AVE,MOWER ST,PLACID ST,10,0,0,0,100,PennDOT,,,
8500,BUSTLETON AVE,PLACID ST,TOLBUT ST,10,5,0,0,100,PENNDOT,,,
8500,BUSTLETON AVE,TUSTIN AVE,EVARTS ST,10,10,0,1,100,PENNDOT,,,
8500,BUSTLETON AVE,TOLBUT ST,BENTON AVE,10,4,0,0,100,PENNDOT,,,
8500,BUSTLETON AVE,EVARTS ST,MOWER ST,10,1,0,0,100,PENNDOT,,,
8600,BUSTLETON AVE,BENTON AVE,BENTON AVE,10,8,0,0,100,PENNDOT,,,
8700,BUSTLETON AVE,BENTON AVE,WINCHESTER AVE,10,14,0,0,100,PENNDOT,,,
9100,BUSTLETON AVE,GREGG ST,DALE RD,10,0,0,0,100,PennDOT,,,
9100,BUSTLETON AVE,COLIMA RD,GREGG ST,10,4,0,0,100,PENNDOT,,,
9100,BUSTLETON AVE,WINCHESTER AVE,CHESTNUT LN,10,12,0,0,100,PENNDOT,,,
9100,BUSTLETON AVE,CHESTNUT LN,COLIMA RD,10,0,0,4,100,PennDOT,,,
9200,BUSTLETON AVE,SCOTCHBROOK DR,WELSH RD,10,9,0,0,100,PENNDOT,,,
9200,BUSTLETON AVE,DALE RD,SCOTCHBROOK DR,10,3,0,4,100,PENNDOT,,,
0,BYBERRY RD,MILLBROOK RD,WOODHAVEN RD,10,10,0,0,100,CITY LOCAL,,,
1700,CALLOWHILL ST,FRANKLIN TOWN BLVD,N 18TH ST,5,1,0,0,87,CITY LOCAL,,,
1700,CALLOWHILL ST,N 17TH ST,FRANKLIN TOWN BLVD,5,2,0,0,89,CITY LOCAL,,,
1800,CALLOWHILL ST,N 18TH ST,N 19TH ST,5,5,3,0,84,CITY LOCAL,,,
1900,CALLOWHILL ST,N 19TH ST,PENNSYLVANIA AVE,5,2,0,0,77,CITY LOCAL,,,
1400,CARLTON ST,DEAD END EAST,N 15TH ST,5,0,0,2,43,CITY LOCAL,,,
1600,CARLTON ST,N 16TH ST,N 17TH ST,5,0,0,5,57,CITY LOCAL,,,
1400,CARPENTER ST,S BROAD ST,S 15TH ST,2,3,2,10,73,CITY LOCAL,,,
100,CECIL B MOORE AVE,MASCHER ST,MASCHER ST,7,0,0,0,91,CITY LOCAL,,,
100,CECIL B MOORE AVE,MASCHER ST,N HANCOCK ST,7,0,0,0,70,CITY LOCAL,,,
100,CECIL B MOORE AVE,PALETHORP ST,N 2ND ST,7,0,0,0,94,CITY LOCAL,,,
100,CECIL B MOORE AVE,E COLUMBIA AVE,HOPE ST,7,0,0,4,70,CITY LOCAL,,,
100,CECIL B MOORE AVE,HOPE ST,N HOWARD ST,7,1,0,2,58,CITY LOCAL,,,
100,CECIL B MOORE AVE,N HANCOCK ST,PALETHORP ST,7,0,4,0,70,CITY LOCAL,,,
100,CECIL B MOORE AVE,N HOWARD ST,WATERLOO ST,7,0,0,0,89,CITY LOCAL,,,
100,CECIL B MOORE AVE,WATERLOO ST,MASCHER ST,7,0,0,0,87,CITY LOCAL,,,
200,CECIL B MOORE AVE,N PHILIP ST,N AMERICAN ST,7,5,3,0,72,CITY LOCAL,,,
200,CECIL B MOORE AVE,N 2ND ST,N PHILIP ST,7,11,0,6,74,CITY LOCAL,,,
1800,CEDAR ST,E HEWSON ST,E NORRIS ST,5,0,0,3,78,CITY LOCAL,,,
1800,CEDAR ST,E BERKS ST,E HEWSON ST,5,1,1,0,57,CITY LOCAL,,,
2200,CEDAR ST,E FLETCHER ST,E DAUPHIN ST,1,0,0,7,75,CITY LOCAL,,,
2200,CEDAR ST,E NORRIS ST,E FLETCHER ST,1,0,0,1,67,CITY LOCAL,,,
2300,CEDAR ST,E GORDON ST,E YORK ST,1,2,0,0,57,CITY LOCAL,,,
2300,CEDAR ST,E DAUPHIN ST,E GORDON ST,1,1,0,0,72,CITY LOCAL,,,
2400,CEDAR ST,E BOSTON ST,E HAGERT ST,1,1,0,1,52,CITY LOCAL,,,
2400,CEDAR ST,E LETTERLY ST,E CUMBERLAND ST,1,1,0,3,67,CITY LOCAL,,,
2400,CEDAR ST,E YORK ST,E BOSTON ST,1,0,0,0,58,CITY LOCAL,,,
2400,CEDAR ST,E HAGERT ST,E LETTERLY ST,1,0,0,0,78,CITY LOCAL,,,
2500,CEDAR ST,E HAZZARD ST,E HUNTINGDON ST,1,2,0,1,78,CITY LOCAL,,,
2500,CEDAR ST,E SERGEANT ST,E HAZZARD ST,1,0,3,0,75,CITY LOCAL,,,
2500,CEDAR ST,E FIRTH ST,E SERGEANT ST,1,0,0,0,78,CITY LOCAL,,,
2500,CEDAR ST,E CUMBERLAND ST,FREEDLY ST,1,0,0,2,62,CITY LOCAL,,,
2500,CEDAR ST,FREEDLY ST,E FIRTH ST,1,0,0,3,86,CITY LOCAL,,,
5300,CHARLES ST,BRILL ST,SANGER ST,7,0,2,0,90,CITY LOCAL,,,
5300,CHARLES ST,SCATTERGOOD ST,BRILL ST,7,0,0,1,80,CITY LOCAL,,,
5300,CHARLES ST,BRIDGE ST,SCATTERGOOD ST,7,0,0,1,91,CITY LOCAL,,,
5400,CHARLES ST,SANGER ST,E CHELTENHAM AVE,7,2,6,0,58,CITY LOCAL,,,
5700,CHARLES ST,E CHELTENHAM AVE,VAN KIRK ST,6,1,1,1,70,CITY LOCAL,,,
5800,CHARLES ST,VAN KIRK ST,HOWELL ST,6,3,0,0,74,CITY LOCAL,,,
5900,CHARLES ST,HOWELL ST,COMLY ST,6,9,0,1,100,CITY LOCAL,,,
6000,CHARLES ST,CRESTON ST,HIGBEE ST,6,2,2,0,75,CITY LOCAL,,,
6000,CHARLES ST,COMLY ST,CRESTON ST,6,0,0,0,57,CITY LOCAL,,,
6000,CHARLES ST,HIGBEE ST,BENNER ST,6,0,0,0,77,CITY LOCAL,,,
6100,CHARLES ST,HARBISON AVE,DEVEREAUX AVE,6,1,0,0,79,CITY LOCAL,,,
6100,CHARLES ST,BENNER ST,HARBISON AVE,6,0,0,0,77,CITY LOCAL,,,
6200,CHARLES ST,DEVEREAUX AVE,ROBBINS ST,6,5,0,4,70,CITY LOCAL,,,
6300,CHARLES ST,STIRLING ST,BARNETT ST,6,0,0,1,76,CITY LOCAL,,,
6300,CHARLES ST,BARNETT ST,LEVICK ST,6,1,0,1,70,CITY LOCAL,,,
6300,CHARLES ST,ROBBINS ST,STIRLING ST,6,0,0,0,90,CITY LOCAL,,,
6400,CHARLES ST,ELBRIDGE ST,PASSMORE ST,6,0,0,0,80,CITY LOCAL,,,
6400,CHARLES ST,LEVICK ST,ELBRIDGE ST,6,1,3,1,59,CITY LOCAL,,,
6400,CHARLES ST,PASSMORE ST,HELLERMAN ST,6,0,0,0,78,CITY LOCAL,,,
6500,CHARLES ST,GREEBY ST,GILHAM ST,6,0,0,2,70,CITY LOCAL,,,
6500,CHARLES ST,HELLERMAN ST,GREEBY ST,6,2,0,0,70,CITY LOCAL,,,
6500,CHARLES ST,GILHAM ST,MAGEE AVE,6,0,0,3,80,CITY LOCAL,,,
6600,CHARLES ST,MAGEE AVE,WELLS ST,6,3,21,0,70,CITY LOCAL,,,
6600,CHARLES ST,WELLS ST,UNRUH AVE,6,0,0,2,70,CITY LOCAL,,,
6700,CHARLES ST,UNRUH AVE,KNORR ST,6,0,0,0,70,CITY LOCAL,,,
6800,CHARLES ST,GLENVIEW ST,LONGSHORE AVE,6,0,6,0,89,CITY LOCAL,,,
6800,CHARLES ST,KNORR ST,GLENVIEW ST,6,1,0,0,88,CITY LOCAL,,,
3400,CHESTNUT ST,S 34TH ST,S 36TH ST,3,1,0,9,100,PENNDOT,,,
3600,CHESTNUT ST,S 36TH ST,S 37TH ST,3,0,2,9,100,PENNDOT,,,
3700,CHESTNUT ST,S 37TH ST,S 38TH ST,3,0,4,0,100,PENNDOT,,,
3800,CHESTNUT ST,S 38TH ST,S 39TH ST,3,2,5,0,100,PENNDOT,,,
3900,CHESTNUT ST,S 39TH ST,S 40TH ST,3,1,1,0,100,PENNDOT,,,
4000,CHESTNUT ST,S 40TH ST,S 41ST ST,3,3,4,1,100,PENNDOT,,,
4000,CHESTNUT ST,S 41ST ST,S 41ST ST,3,0,0,0,100,PENNDOT,,,
4100,CHESTNUT ST,S 42ND ST,S 42ND ST,3,1,0,0,100,PENNDOT,,,
4100,CHESTNUT ST,S 41ST ST,S 42ND ST,3,1,0,0,100,PENNDOT,,,
4200,CHESTNUT ST,S 42ND ST,S 43RD ST,3,3,19,0,100,PENNDOT,,,
