HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 13TH ST,BROWN ST,PARRISH ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,N 13TH ST,POPLAR ST,CAMBRIDGE CT,5,100,6,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 13TH ST,ARCH ST,RACE ST,1,78,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 21ST ST,PARRISH ST,POPLAR ST,5,100,3,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 21ST ST,BROWN ST,PARRISH ST,5,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N 23RD ST,FAIRMOUNT AVE,OLIVE ST,5,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N 23RD ST,OLIVE ST,PEROT ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N 23RD ST,PEROT ST,ASPEN ST,5,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N 25TH ST,W THOMPSON ST,SEYBERT ST,5,100,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 25TH ST,N COLLEGE AVE,W THOMPSON ST,5,100,4,7,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N 25TH ST,NICHOLAS ST,CECIL B MOORE AVE,5,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N 25TH ST,TURNER ST,NICHOLAS ST,5,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N 25TH ST,W OXFORD ST,TURNER ST,5,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N 25TH ST,REDNER ST,W OXFORD ST,5,75,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N 25TH ST,BOLTON ST,REDNER ST,5,73,0,13,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N 25TH ST,NASSAU ST,BOLTON ST,5,68,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N 25TH ST,JEFFERSON ST,NASSAU ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N 25TH ST,STEWART ST,JEFFERSON ST,5,79,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N 25TH ST,SHARSWOOD ST,STEWART ST,5,100,1,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N 25TH ST,HARLAN ST,SHARSWOOD ST,5,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N 25TH ST,MASTER ST,HARLAN ST,5,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N 25TH ST,INGERSOLL ST,MASTER ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N 25TH ST,SEYBERT ST,INGERSOLL ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 28TH ST,W CABOT ST,W THOMPSON ST,5,100,4,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 28TH ST,W STILES ST,W CABOT ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 28TH ST,W STILES ST,W STILES ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 28TH ST,W FLORA ST,W STILES ST,5,100,3,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 28TH ST,W GIRARD AVE,W FLORA ST,5,100,5,9,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N 2ND ST,CUTHBERT ST,ARCH ST,1,100,2,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N 2ND ST,FILBERT ST,CUTHBERT ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N 2ND ST,CHURCH ST,FILBERT ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N 2ND ST,S 2ND ST,CHURCH ST,1,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,N 2ND ST,WOOD ST,CALLOWHILL ST,1,100,4,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,N 2ND ST,VINE ST,WOOD ST,1,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 2ND ST,NEW ST,VINE ST,1,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 2ND ST,QUARRY ST,RACE ST,1,100,0,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 2ND ST,ELFRETHS ALY,QUARRY ST,1,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 2ND ST,ARCH ST,ELFRETHS ALY,1,100,3,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 2ND ST,RACE ST,FLORIST ST,1,100,4,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 2ND ST,FLORIST ST,BENJAMIN FRANKLIN BRG ACCESS RD,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 2ND ST,BENJAMIN FRANKLIN BRG ACCESS RD,NEW ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,N 2ND ST,W 65TH AVE,66TH AVE,9,98,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,N 2ND ST,KENILWORTH AVE,CHELTEN AVE,9,98,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,N 2ND ST,W LAVEER ST,KENILWORTH AVE,9,97,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,N 2ND ST,W GODFREY AVE,W LAVEER ST,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100,N 2ND ST,SPARKS ST,W GODFREY AVE,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100,N 2ND ST,ROSEMAR ST,SPARKS ST,9,92,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100,N 2ND ST,W SPENCER AVE,ROSEMAR ST,9,98,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,N 2ND ST,FERN ST,W SPENCER AVE,9,97,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,N 2ND ST,ROSELYN ST,FERN ST,9,98,4,2,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,N 2ND ST,W CHAMPLOST AVE,ROSELYN ST,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,N 2ND ST,LINTON ST,W CHAMPLOST AVE,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,N 2ND ST,WIDENER ST,LINTON ST,9,97,0,1,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,N 2ND ST,W NEDRO AVE,WIDENER ST,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,N 2ND ST,OLD SECOND ST,W NEDRO AVE,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,N 2ND ST,W 64TH AVE,W 65TH AVE,9,97,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,N 2ND ST,COLONIAL ST,W 64TH AVE,9,87,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,N 2ND ST,CHELTEN AVE,COLONIAL ST,9,98,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,N 2ND ST,66TH AVE,LANFAIR RD,9,98,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N 48TH ST,MARKET ST,HAVERFORD AVE,3,100,10,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N 5TH ST,W THOMPSON ST,MASTER ST,5,70,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N 5TH ST,W GIRARD AVE,W THOMPSON ST,5,59,2,4,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,N 5TH ST,CAMBRIDGE ST,W GIRARD AVE,5,89,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,N 5TH ST,POPLAR ST,W GEORGE ST,5,77,11,14,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 5TH ST,PARRISH ST,MYRTLE ST,5,89,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 5TH ST,RENO ST,PARRISH ST,5,89,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 5TH ST,BROWN ST,RENO ST,5,89,8,3,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N 5TH ST,OLIVE ST,BROWN ST,5,89,3,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N 5TH ST,FAIRMOUNT AVE,OLIVE ST,5,89,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,N 5TH ST,WALLACE ST,FAIRMOUNT AVE,5,89,7,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,N 5TH ST,GREEN ST,WALLACE ST,5,89,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,N 5TH ST,SPRING GARDEN ST,GREEN ST,5,89,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,N 5TH ST,W GEORGE ST,CAMBRIDGE ST,5,87,0,4,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N 5TH ST,MYRTLE ST,POPLAR ST,5,89,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,N 5TH ST,W HUNTINGDON ST,W LEHIGH AVE,7,73,21,1,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,N 5TH ST,W CUMBERLAND ST,W HUNTINGDON ST,7,78,15,1,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,N 5TH ST,W YORK ST,W CUMBERLAND ST,7,73,20,8,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,N 5TH ST,W DAUPHIN ST,W YORK ST,7,78,11,4,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,N 5TH ST,W SUSQUEHANNA AVE,W DAUPHIN ST,7,78,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,N 5TH ST,DIAMOND ST,W SUSQUEHANNA AVE,7,77,10,5,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,N 5TH ST,W NORRIS ST,DIAMOND ST,7,78,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,N 5TH ST,W HEWSON ST,W NORRIS ST,7,78,3,9,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,N 5TH ST,W BERKS ST,W HEWSON ST,7,84,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,N 5TH ST,MORSE ST,W BERKS ST,7,84,0,7,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,N 5TH ST,GERMANTOWN AVE,MORSE ST,7,84,0,2,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,N 5TH ST,CECIL B MOORE AVE,W MONTGOMERY AVE,7,78,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N 5TH ST,JEFFERSON ST,W OXFORD ST,7,77,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N 5TH ST,MASTER ST,JEFFERSON ST,7,72,0,3,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N 5TH ST,N 5TH CT,CECIL B MOORE AVE,7,89,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N 5TH ST,W OXFORD ST,N 5TH CT,7,89,1,2,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,N 6TH ST,GREEN ST,FAIRMOUNT AVE,5,100,2,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,N 6TH ST,BRANDYWINE ST,WALKWAY CONNECTOR,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,N 6TH ST,SPRING GARDEN ST,BRANDYWINE ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 7TH ST,ARCH ST,APPLETREE ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 7TH ST,APPLETREE ST,RACE ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 9TH ST,RACE ST,SPRING ST,1,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 9TH ST,WINTER ST,VINE ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 9TH ST,ARCH ST,CHERRY ST,1,100,3,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N 9TH ST,CHERRY ST,RACE ST,1,100,3,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N 9TH ST,SPRING ST,WINTER ST,1,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,N 9TH ST,OAK LN,69TH AVE,9,100,1,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N BAILEY ST,W OXFORD ST,CECIL B MOORE AVE,5,100,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N BAILEY ST,JEFFERSON ST,W OXFORD ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,N BAMBREY ST,POPLAR ST,W GIRARD AVE,5,100,9,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N BAMBREY ST,RENO ST,PARRISH ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N BAMBREY ST,PARRISH ST,POPLAR ST,5,100,0,11,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N BEECHWOOD ST,PARRISH ST,POPLAR ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N BEECHWOOD ST,BROWN ST,PARRISH ST,5,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,N BROAD ST,OLD YORK RD,67TH AVE,9,100,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7200,N BROAD ST,72ND AVE,W CHELTENHAM AVE,9,100,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100,N BROAD ST,72ND AVE,72ND AVE,9,100,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7100,N BROAD ST,71ST AVE,72ND AVE,9,100,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,N BROAD ST,70TH AVE,71ST AVE,9,100,2,1,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6900,N BROAD ST,69TH AVE,70TH AVE,9,100,10,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,N BROAD ST,68TH AVE,HAINES ST,9,100,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700,N BROAD ST,67TH AVE,68TH AVE,9,100,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,N BROAD ST,HAINES ST,69TH AVE,9,100,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N CAMAC ST,SPRING ST,SUMMER ST,1,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N CAMAC ST,RACE ST,SPRING ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N CAPITOL ST,BROWN ST,PARRISH ST,5,100,1,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N DARIEN ST,JEFFERSON ST,W OXFORD ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N DOVER ST,W STILES ST,W THOMPSON ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N DOVER ST,W THOMPSON ST,MASTER ST,5,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N DOVER ST,W OXFORD ST,CECIL B MOORE AVE,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N DOVER ST,JEFFERSON ST,W OXFORD ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N DOVER ST,MASTER ST,JEFFERSON ST,5,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N EDGEWOOD ST,ARCH ST,RACE ST,4,100,1,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N EDGEWOOD ST,SUMMER ST,VINE ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N EDGEWOOD ST,RACE ST,SPRING ST,4,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N EDGEWOOD ST,MARKET ST,ARCH ST,4,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N EDGEWOOD ST,SPRING ST,SUMMER ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N HOBART ST,RACE ST,VINE ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N HOBART ST,ARCH ST,RACE ST,4,100,2,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N HOBART ST,FILBERT ST,ARCH ST,4,100,0,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N HOLLYWOOD ST,W STILES ST,W THOMPSON ST,5,100,12,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N HOLLYWOOD ST,W THOMPSON ST,MASTER ST,5,100,16,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N HOLLYWOOD ST,JEFFERSON ST,W OXFORD ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N HOLLYWOOD ST,MASTER ST,JEFFERSON ST,5,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N HUTCHINSON ST,W FLORA ST,W THOMPSON ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N HUTCHINSON ST,W GIRARD AVE,W FLORA ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N HUTCHINSON ST,MASTER ST,JEFFERSON ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N MARSTON ST,W THOMPSON ST,KERSHAW ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,N MARSTON ST,W OXFORD ST,CECIL B MOORE AVE,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N MARSTON ST,JEFFERSON ST,W OXFORD ST,5,100,1,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N MARSTON ST,KERSHAW ST,MASTER ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N MARSTON ST,MASTER ST,JEFFERSON ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5700,N MARVINE ST,N 11TH ST,W GRANGE AVE,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,N MILLICK ST,ARCH ST,RACE ST,4,100,0,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N MILLICK ST,MARKET ST,ARCH ST,4,100,1,6,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N NEWKIRK ST,W THOMPSON ST,MASTER ST,5,100,0,9,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,N NEWKIRK ST,W STILES ST,W THOMPSON ST,5,100,1,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N NEWKIRK ST,JEFFERSON ST,W OXFORD ST,5,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N NEWKIRK ST,MASTER ST,JEFFERSON ST,5,100,5,4,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,N ORKNEY ST,JEFFERSON ST,W OXFORD ST,7,100,0,3,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N RINGGOLD ST,ASPEN ST,BROWN ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N RINGGOLD ST,PARRISH ST,S COLLEGE AVE,5,100,5,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N RINGGOLD ST,BROWN ST,PARRISH ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N SALFORD ST,SUMMER ST,VINE ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N SALFORD ST,RACE ST,SPRING ST,4,100,2,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N SALFORD ST,SPRING ST,SUMMER ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N SALFORD ST,MARKET ST,FILBERT ST,4,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N SALFORD ST,FILBERT ST,ARCH ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N STILLMAN ST,SEYBERT ST,SEYBERT ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N STILLMAN ST,W THOMPSON ST,SEYBERT ST,5,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N STILLMAN ST,PARRISH ST,POPLAR ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N STILLMAN ST,BROWN ST,PARRISH ST,5,100,5,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N STILLMAN ST,INGERSOLL ST,MASTER ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,N STILLMAN ST,SEYBERT ST,INGERSOLL ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,N SYDENHAM ST,MASTER ST,JEFFERSON ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,N TAYLOR ST,ASPEN ST,BROWN ST,5,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N TAYLOR ST,PARRISH ST,POPLAR ST,5,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,N TAYLOR ST,BROWN ST,PARRISH ST,5,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,N WANAMAKER ST,RACE ST,VINE ST,4,100,0,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
