HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,BALTIMORE AVE,BALTIMORE AVE,WOODLAND AVE,3,NULL,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200,BARBARY RD,RAMBLER RD,BYBERRY RD,10,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200,BARBARY RD,MORNING GLORY RD,RAMBLER RD,10,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200,BARBARY RD,FAIRDALE RD,MORNING GLORY RD,10,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,BARCLAY ST,BOWMAN ST,AINSLIE ST,4,100,3,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARNETT ST,TACONY ST,BARNETT ST,6,89,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,BARNETT ST,ELBRIDGE ST,MILNOR ST,6,89,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,BARNETT ST,BARNETT ST,MILNOR ST,6,89,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200,BARTRAM AVE,DELAWARE EXPY RAMP TP,BARTRAM AVE,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9100,BARTRAM AVE,DELAWARE EXPY RAMP H,DELAWARE EXPY RAMP TP,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARTRAM AVE,DELAWARE EXPY RAMP TP,DELAWARE EXPY RAMP TP,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARTRAM AVE,S 84TH ST,S 84TH ST,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8400,BARTRAM AVE,S 84TH ST,TINICUM BLVD,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,BARTRAM AVE,S 90TH ST,DELAWARE EXPY RAMP H,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8800,BARTRAM AVE,S 88TH ST,S 89TH ST,2,100,1,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8900,BARTRAM AVE,S 89TH ST,S 90TH ST,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8500,BARTRAM AVE,TINICUM BLVD,S 88TH ST,2,94,2,1,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARTRAM AVE,BARTRAM AVE,ARRIVALS RD,NULL,NULL,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,BARTRAM AVE,HOLSTEIN AVE,ISLAND AVE,2,87,1,1,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,BARTRAM AVE,ESSINGTON AVE,HOLSTEIN AVE,2,98,0,0,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,BARTRAM AVE,ISLAND AVE,S 84TH ST,2,98,1,4,PennDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8200,BAYARD ST,E MOUNT PLEASANT AVE,E MOUNT AIRY AVE,9,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,BELFIELD AVE,W ROCKLAND ST,OGONTZ AVE,8,98,3,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,BELFIELD AVE,WAGNER AVE,N 17TH ST,8,90,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,BELFIELD AVE,W LOUDON ST,WINDRIM AVE,8,85,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,BELFIELD AVE,W WYOMING AVE,W LOUDON ST,8,98,1,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,BELFIELD AVE,N 15TH ST,W WYOMING AVE,8,90,0,2,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,BELFIELD AVE,WINDRIM AVE,WAGNER AVE,8,90,0,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,BELFIELD AVE,N BROAD ST,N 15TH ST,8,96,2,0,FAM Paving & Ramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
